,species,class,order,family,genus
0,Lithobates catesbeianus,Amphibia,Anura,Ranidae,Aquarana
1,Vireo bellii,Aves,Passeriformes,Vireonidae,Vireo
2,Sylvilagus bachmani,Mammalia,Lagomorpha,Leporidae,Sylvilagus
3,Microtus californicus,Mammalia,Rodentia,Cricetidae,Microtus
4,Scapanus latimanus,Mammalia,Eulipotyphla,Talpidae,Scapanus
5,Thamnophis sirtalis,Lepidosauria,Squamata,Colubridae,Thamnophis
6,Ensatina eschscholtzii,Amphibia,Caudata,Plethodontidae,Ensatina
7,Dicamptodon ensatus,Amphibia,Caudata,Dicamptodontidae,Dicamptodon
8,Pseudacris regilla,Amphibia,Anura,Hylidae,Pseudacris
9,Rana aurora,Amphibia,Anura,Ranidae,Rana
10,Anaxyrus boreas,Amphibia,Anura,Bufonidae,Anaxyrus
11,Uma inornata,Lepidosauria,Squamata,Phrynosomatidae,Uma
12,Gopherus agassizi,,Testudines,Testudinidae,Gopherus
13,Thamnophis gigas,Lepidosauria,Squamata,Colubridae,Thamnophis
14,Xantusia riversiana,Lepidosauria,Squamata,Xantusiidae,Xantusia
15,Pituophis melanoleucus,Lepidosauria,Squamata,Colubridae,Pituophis
16,Uta stansburiana,Lepidosauria,Squamata,Phrynosomatidae,Uta
17,Sceloporus occidentalis,Lepidosauria,Squamata,Phrynosomatidae,Sceloporus
18,Actinemys marmorata,,Testudines,Emydidae,Actinemys
19,Eumeces skiltonianus,Lepidosauria,Squamata,Scincidae,Plestiodon
20,Falco sparverius,Aves,Falconiformes,Falconidae,Falco
21,Pelecanus occidentalis,Aves,Pelecaniformes,Pelecanidae,Pelecanus
22,Athene cunicularia,Aves,Strigiformes,Strigidae,Athene
23,Rallus longirostris,Aves,Gruiformes,Rallidae,Rallus
24,Phalacrocorax auritus,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax
25,Bubo virginianus,Aves,Strigiformes,Strigidae,Bubo
26,Charadrius vociferus,Aves,Charadriiformes,Charadriidae,Charadrius
27,Sterna antillarum,Aves,Charadriiformes,Laridae,Sternula
28,Lanius ludovicianus,Aves,Passeriformes,Laniidae,Lanius
29,Colaptes auratus,Aves,Piciformes,Picidae,Colaptes
30,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco
31,Charadrius nivosus,Aves,Charadriiformes,Charadriidae,Anarhynchus
32,Melospiza melodia,Aves,Passeriformes,Passerellidae,Melospiza
33,Aechmophorus occidentalis,Aves,Podicipediformes,Podicipedidae,Aechmophorus
34,Sturnella neglecta,Aves,Passeriformes,Icteridae,Sturnella
35,Empidonax traillii,Aves,Passeriformes,Tyrannidae,Empidonax
36,Spermophilus beecheyi,Mammalia,Rodentia,Sciuridae,Otospermophilus
37,Zalophus californianus,Mammalia,Carnivora,Otariidae,Zalophus
38,Canis latrans,Mammalia,Carnivora,Canidae,Canis
39,Vulpes macrotis,Mammalia,Carnivora,Canidae,Vulpes
40,Perognathus longimembris,Mammalia,Rodentia,Heteromyidae,Perognathus
41,Mustela frenata,Mammalia,Carnivora,Mustelidae,Neogale
42,Antrozous pallidus,Mammalia,Chiroptera,Vespertilionidae,Antrozous
43,Reithrodontomys raviventris,Mammalia,Rodentia,Cricetidae,Reithrodontomys
44,Dipodomys nitratoides,Mammalia,Rodentia,Heteromyidae,Dipodomys
45,Enhydra lutris,Mammalia,Carnivora,Mustelidae,Enhydra
46,Mephitis mephitis,Mammalia,Carnivora,Mephitidae,Mephitis
47,Sorex ornatus,Mammalia,Eulipotyphla,Soricidae,Sorex
48,Oceanodroma homochroa,Aves,Procellariiformes,,Oceanodroma
49,Laterallus jamaicensis,Aves,Gruiformes,Rallidae,Laterallus
50,Ambystoma californiense,Amphibia,Caudata,Ambystomatidae,Ambystoma
51,Rana boylii,Amphibia,Anura,Ranidae,Rana
52,Gillichthys mirabilis,Actinopteri,Gobiiformes,Gobiidae,Gillichthys
53,Turdus migratorius,Aves,Passeriformes,Turdidae,Turdus
54,Lasiurus cinereus,Mammalia,Chiroptera,Vespertilionidae,Lasiurus
55,Myotis lucifugus,Mammalia,Chiroptera,Vespertilionidae,Myotis
56,Peromyscus maniculatus,Mammalia,Rodentia,Cricetidae,Peromyscus
57,Anas platyrhynchos,Aves,Anseriformes,Anatidae,Anas
58,Zenaida macroura,Aves,Columbiformes,Columbidae,Zenaida
59,Dipodomys merriami,Mammalia,Rodentia,Heteromyidae,Dipodomys
60,Taricha torosa,Amphibia,Caudata,Salamandridae,Taricha
61,Pituophis catenifer,Lepidosauria,Squamata,Colubridae,Pituophis
62,Ambystoma macrodactylum,Amphibia,Caudata,Ambystomatidae,Ambystoma
63,Dicamptodon tenebrosus,Amphibia,Caudata,Dicamptodontidae,Dicamptodon
64,Dipsosaurus dorsalis,Lepidosauria,Squamata,Iguanidae,Dipsosaurus
65,Chelonia mydas,,Testudines,Cheloniidae,Chelonia
66,Egretta thula,Aves,Pelecaniformes,Ardeidae,Egretta
