Animal Name,Exposure Endpoint Type,Endpoint Value,Endpoint Description,Range,Units,Error,Sex,Life Cycle Stage,Location,Sample Size,Type
Lithobates catesbeianus (Bullfrog),Dietary Composition,"Frequencies of occurrence: Terrestrial prey (86.96 %) Aquatic prey (28.26 %) Amphibious prey (30.43 %) Arthropod remains (21.74 %), Undetermined remains (15.22 %)",,,,,M,Adult,"20⁰45'S, 42⁰07'W",46,Exposure Factor Datasets
Lithobates catesbeianus (Bullfrog),Dietary Composition,"Frequencies of occurrence: Terrestrial prey (63.64 %) Aquatic prey (39.39 %) Amphibious prey (33.33 %) Arthropod remains (21.21 %), Undetermined remains (9.09 %)",,,,,F,Adult,"20⁰45'S, 42⁰07'W",33,Exposure Factor Datasets
Lithobates catesbeianus (Bullfrog),Dietary Composition,"Frequencies of occurrence: Terrestrial prey (79.41 %) Aquatic prey (26.47 %) Amphibious prey (3.26 %) Arthropod remains (20.59 %), Undetermined remains (11.76 %)",,,,,NR,Juvenile,"20⁰45'S, 42⁰07'W",34,Exposure Factor Datasets
Lithobates catesbeianus (Bullfrog),Dietary Composition,See Table 1 in citation,,,,,B,Both Adults and Juveniles,Kyoto,"21 males, 14 females, 159 juveniles",Exposure Factor Datasets
Lithobates catesbeianus (Bullfrog),Dietary Composition,"Annelida (4.60), Arachnida (18.80), Crustacea (3.80), Insecta 54.80), Mollusca (0.40), Myriapoda (3.80), Anura (11.30), Osteichthyes (2.50)",,,,,B,Both Adults and Juveniles,"25°18’47""S, 48°58’07""W; 25°17’09""S, 49°00’05""W; 25°14’21""S, 49°02’10""W",181,Exposure Factor Datasets
Lithobates catesbeianus (Bullfrog),,,,,,,,,"25⁰14'21''S, 49⁰02'10''W, 25⁰17'09''S,
49⁰00'05''W, 25⁰18'47''S, 48⁰58'07''W",,Exposure Factor Datasets
Lithobates catesbeianus (Bullfrog),Dietary Composition,See citation Table 1 for percentage of occurrence frequency of 15 prey items,,,,,B,Both Adults and Juveniles,"Between 31⁰47'47.23""N, 116°30'04.02""W and between 31°47'55.46""N, 116°29'17.39""W",64,Exposure Factor Datasets
Lithobates catesbeianus (Bullfrog),Dietary Composition,See citation Table 2 for number of prey,,,,,B,Adult,"31.2515°S, 69.4417°W",82,Exposure Factor Datasets
Lithobates catesbeianus (Bullfrog),Dietary Composition,See citation Table 2 for number of prey,,,,,B,Juvenile,"31.2515°S, 69.4417°W",87,Exposure Factor Datasets
Lithobates catesbeianus (Bullfrog),Age at Sexual Maturity,See citation Table II,,,,,B,Both Adults and Juveniles,Vancouver Island,50,Exposure Factor Datasets
Lithobates catesbeianus (Bullfrog),Age at Sexual Maturity,See citation Table II,,,,,B,Both Adults and Juveniles,"3 populations in France: Gironde Gabauds, Loir et Cher, 
Perigord Limousin",241,Exposure Factor Datasets
Lithobates catesbeianus (Bullfrog),Dietary Composition,See citation Table 1,,,,,M,Adult,Shiping: 23°42' N 102°28' E,40,Exposure Factor Datasets
Lithobates catesbeianus (Bullfrog),Dietary Composition,See citation Table 1,,,,,F,Adult,Shiping: 23°42' N 102°28' E,37,Exposure Factor Datasets
Lithobates catesbeianus (Bullfrog),Dietary Composition,See citation Table 1,,,,,NR,Juvenile,Shiping: 23°42' N 102°28' E,24,Exposure Factor Datasets
Lithobates catesbeianus (Bullfrog),Dietary Composition,See citation Table 1,,,,,M,Adult,Caohai: 27°42' N 100°51' E,47,Exposure Factor Datasets
Lithobates catesbeianus (Bullfrog),Dietary Composition,See citation Table 1,,,,,F,Adult,Caohai: 27°42' N 100°51' E,45,Exposure Factor Datasets
Lithobates catesbeianus (Bullfrog),Dietary Composition,See citation Table 1,,,,,NR,Juvenile,Caohai: 27°42' N 100°51' E,21,Exposure Factor Datasets
Vireo bellii (Bell's Vireo),Clutches or Litters per year,2.29,,,,0.37,,Adult,,,Exposure Factor Datasets
