Animal Name,Chemical,Endpoint Value,Endpoint Description,Range,Sex,Life Cycle Stage,Location,Sample Size,Tox Exposure,Toxicity Endpoint Type,Tox Exposure Duration,Tox Exposure Technique,Type
Lithobates catesbeianus (Bullfrog),BENTAZON,,LC50,,NR,Tadpole,"Experimental Frog Farm, São Paulo",6,"600, 1200, 2400, 4800, 9600 mg/L",TOX-MORT - toxicity benchmarks,96 hr,Waterborne,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),PENOXSULAM,,LC50,,NR,Tadpole,"Experimental Frog Farm, São Paulo",6,"(+ vegetable oil adjuvant): 2.88 + 55.80; 4.32 + 83.70; 5.76 + 111.60; 7.20 mg/L
C 139.50; 8.64 + 167.40",TOX-MORT - toxicity benchmarks,96 hr,Waterborne,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),,,LC50,,NR,Tadpole,"Experimental Frog Farm, São Paulo",6,Vegetable oil: 55.80; 83.70; 111.60; 139.50; 167.40 mg/L,TOX-MORT - toxicity benchmarks,96 hr,Waterborne,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),PERMETHRIN,,LC50,,NR,Tadpole,"Experimental Frog Farm, São Paulo",6,"0.01, 0.03, 0.09, 0.27, 0.81 mg/L",TOX-MORT - toxicity benchmarks,96 hr,Waterborne,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),LIDOCAINE,,Heart rate,,NR,Adult,,10,5 mg/kg (4 mg/mL),TOX-Non-Repro-Sublethal - whole animal,60 min,Subcutaneous injection,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),LIDOCAINE,,Reflexes,,NR,Adult,,10,5 mg/kg (4 mg/mL),TOX-Non-Repro-Sublethal - whole animal,60 min,Subcutaneous injection,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),LIDOCAINE,,Reduced gular respiratory rate,,NR,Adult,,10,5 mg/kg (4 mg/mL),TOX-Non-Repro-Sublethal - whole animal,60 min,Subcutaneous injection,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),LIDOCAINE,,Heart rate,,NR,Adult,,6,5 mg/kg (4 mg/mL),TOX-Non-Repro-Sublethal - whole animal,80 min,"Subcutaneous injection following sedation, surgery, recovery",Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),LIDOCAINE,,Mean arterial pressure,,NR,Adult,,6,5 mg/kg (4 mg/mL),TOX-Non-Repro-Sublethal - whole animal,80 min,"Subcutaneous injection following sedation, surgery, recovery",Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),LIDOCAINE,,Mean arterial pressure,,NR,Adult,,6,50 mg/kg (20 mg/mL),TOX-Non-Repro-Sublethal - whole animal,160 min,"Subcutaneous injection following sedation, surgery, recovery",Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),DIPHACINONE,,% metabolism by liver microsome,,M,Not Reported,"Castroville, CA",14,NR,TOX-Non-Repro-Sublethal - cellular/biochemical effects,NR,Environmental,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),TETRODOTOXIN,,% speed reduction,,B,Neonate,Benton County,25,0.001 mg,TOX-Non-Repro-Sublethal - behavioral effects,Single,Intraperitoneal injection,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),TETRODOTOXIN,,% speed reduction,,B,Neonate,Benton County,25,0.04 mg,TOX-Non-Repro-Sublethal - behavioral effects,Single,Oral,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),TETRODOTOXIN,,% speed reduction,,B,Neonate,Benton County,25,0.04 mg,TOX-Non-Repro-Sublethal - behavioral effects,Single,Oral,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),TETRODOTOXIN,,% speed reduction,,B,Neonate,Bear Lake County,17,0.00005 mg,TOX-Non-Repro-Sublethal - behavioral effects,Single,Intraperitoneal injection,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),TETRODOTOXIN,,% speed reduction,,B,Neonate,Bear Lake County,17,0.002 mg,TOX-Non-Repro-Sublethal - behavioral effects,Single,Oral,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),TETRODOTOXIN,,% speed reduction,,B,Neonate,Bear Lake County,17,0.002 mg,TOX-Non-Repro-Sublethal - behavioral effects,Single,Oral,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),ATRAZINE,,Mortality,,B,Neonate,"Eggs from Lincoln County, MT",80,"0, 1.84, 18.4, 184 µg/L",TOX-MORT - dose-response data,30 d,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),ATRAZINE,,Larval period (d),,B,Embryo,"Eggs from Lincoln County, MT",80,"0, 1.84, 18.4, 184 µg/L",TOX-REPRO - development,30 d,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),ATRAZINE,,Mass at metamorphosis (mg),,B,Embryo,"Eggs from Lincoln County, MT",80,"0, 1.84, 18.4, 184 µg/L",TOX-Non-Repro-Sublethal - whole animal,30 d,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),ATRAZINE,,Body size at metamorphosis,,B,Embryo,"Eggs from Lincoln County, MT",80,"0, 1.84, 18.4, 184 µg/L",TOX-Non-Repro-Sublethal - whole animal,30 d,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),METHOXYCHLOR,,Susceptibility to predation,,B,Neonate,Eggs from local breeding pond,10,"0, 0.01, 0.1, 1.0, 10.0 mg/L",TOX-Non-Repro-Sublethal - indirect effects,See citation,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),METHOXYCHLOR,,% hatch,,B,Embryo,Eggs from local breeding pond,90-132,"0, 0.01, 0.1, 1.0, 10.0 mg/L",TOX-REPRO - reproductive success,See citation,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),"NITRATE, SODIUM",,% survival,,NR,Embryo,"Willamette Valley, OR",10,"0, 5, 20 mg/L",TOX-MORT - toxicity benchmarks,3 w,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),"NITRATE, SODIUM",,Embryo mass,,NR,Embryo,"Willamette Valley, OR",10,"0, 5, 20 mg/L",TOX-Non-Repro-Sublethal - whole animal,3 w,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),"NITRATE, SODIUM",,% survival,,NR,Embryo,"Cascade Mountain, OR",10,"0, 10 mg/L",TOX-MORT - toxicity benchmarks,3 w,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),"NITRATE, SODIUM",,Embryo mass,,NR,Embryo,"Cascade Mountain, OR",10,"0, 10 mg/L",TOX-Non-Repro-Sublethal - whole animal,3 w,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),ENDOSULFAN,,LC10,,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets
Vireo bellii (Bell's Vireo),ENDOSULFAN,,LC50,,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets
Sylvilagus bachmani (Brush Rabbit),ENDOSULFAN,,LC90,,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets
Sylvilagus bachmani (Brush Rabbit),ENDOSULFAN,,LOEC,,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets
