Animal Name,Chemical,Endpoint Value,Endpoint Description,Range,Sex,Life Cycle Stage,Location,Sample Size,Tox Exposure,Toxicity Endpoint Type,Tox Exposure Duration,Tox Exposure Technique,Type
Lithobates catesbeianus (Bullfrog),BENTAZON,4530 mg/L,LC50,,NR,Tadpole,"Experimental Frog Farm, São Paulo",6,"600, 1200, 2400, 4800, 9600 mg/L",TOX-MORT - toxicity benchmarks,96 hr,Waterborne,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),PENOXSULAM,7.52 mg/L,LC50,,NR,Tadpole,"Experimental Frog Farm, São Paulo",6,"(+ vegetable oil adjuvant): 2.88 + 55.80; 4.32 + 83.70; 5.76 + 111.60; 7.20 mg/L
C 139.50; 8.64 + 167.40",TOX-MORT - toxicity benchmarks,96 hr,Waterborne,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),,81.57 mg/L,LC50,,NR,Tadpole,"Experimental Frog Farm, São Paulo",6,Vegetable oil: 55.80; 83.70; 111.60; 139.50; 167.40 mg/L,TOX-MORT - toxicity benchmarks,96 hr,Waterborne,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),PERMETHRIN,0.10 mg/L,LC50,,NR,Tadpole,"Experimental Frog Farm, São Paulo",6,"0.01, 0.03, 0.09, 0.27, 0.81 mg/L",TOX-MORT - toxicity benchmarks,96 hr,Waterborne,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),LIDOCAINE,no effect,Heart rate,,NR,Adult,,10,5 mg/kg (4 mg/mL),TOX-Non-Repro-Sublethal - whole animal,60 min,Subcutaneous injection,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),LIDOCAINE,no effect,Reflexes,,NR,Adult,,10,5 mg/kg (4 mg/mL),TOX-Non-Repro-Sublethal - whole animal,60 min,Subcutaneous injection,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),LIDOCAINE,87 ± 17 breaths/min,Reduced gular respiratory rate,,NR,Adult,,10,5 mg/kg (4 mg/mL),TOX-Non-Repro-Sublethal - whole animal,60 min,Subcutaneous injection,Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),LIDOCAINE,See citation Figure 3,Heart rate,,NR,Adult,,6,5 mg/kg (4 mg/mL),TOX-Non-Repro-Sublethal - whole animal,80 min,"Subcutaneous injection following sedation, surgery, recovery",Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),LIDOCAINE,See citation Figure 3,Mean arterial pressure,,NR,Adult,,6,5 mg/kg (4 mg/mL),TOX-Non-Repro-Sublethal - whole animal,80 min,"Subcutaneous injection following sedation, surgery, recovery",Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),LIDOCAINE,See citation Figure 3,Mean arterial pressure,,NR,Adult,,6,50 mg/kg (20 mg/mL),TOX-Non-Repro-Sublethal - whole animal,160 min,"Subcutaneous injection following sedation, surgery, recovery",Toxicity Factor Datasets
Lithobates catesbeianus (Bullfrog),DIPHACINONE,0.333,% metabolism by liver microsome,,M,Not Reported,"Castroville, CA",14,NR,TOX-Non-Repro-Sublethal - cellular/biochemical effects,NR,Environmental,Toxicity Factor Datasets
